num_experimento,num_iteracao,num_particula,pos_camada,pos_n1,pos_n2,pos_n3,pos_lr,vel_camada,vel_n1,vel_n2,vel_n3,vel_lr,pbest_camada,pbest_n1,pbest_n2,pbest_n3,pbest_lr,num_camadas,f1_score,peso,int_best
23,10,13,1.3438607474092847,102.97598379584176,106.16371605400897,93.24143310369263,0.09168359193422967,0.30000000000000004,12.0,7.501221941740008,-6.971274306877584,0.008146824530520541,1.5000000000000004,81.77840208545746,99.34099174483012,98.75558191547532,0.08329500000000001,1,0.8787878787878788,0.12121212121212122,0
23,10,14,1.8220485004568416,108.86883220637219,120.5712170484875,116.0,0.09143812521040236,0.30000000000000004,2.9034192525895053,-7.280647990199489,-12.0,-0.007271418138904558,2.1220485004568417,99.03863383197574,119.43090827198391,113.21977179452023,0.09357487571318229,2,0.8529411764705882,0.1470588235294118,0
23,10,15,1.9443043714418473,128.0,128.0,128.0,0.1,-0.12933631779834498,0.01072780222170003,0.033052365010981105,0.012052231794551591,0.0006951797435788884,4.0,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,10,16,1.7075098576050445,80.22774225223849,78.00446164921688,78.15725401216139,0.0636346321669087,0.30000000000000004,12.0,-12.0,12.0,-0.0063683678330913075,2.8000000000000007,56.0,56.0,56.0,0.030007000000000002,2,0.8656716417910447,0.13432835820895528,0
23,10,17,1.815651149735007,97.26190908710207,110.11578054654612,114.14480011211859,0.07421474035230985,-0.1277697247263448,12.0,-5.861789678840697,8.513568730649986,-0.009999000000000001,3.1000000000000005,55.00028997047436,84.0,84.0,0.063297,2,0.8529411764705882,0.1470588235294118,0
23,10,18,1.8935534889140446,120.20278457961642,125.69462374464489,128.0,0.1,-0.20563660082049623,12.0,2.157726700338853,5.08366470508979,0.0018646414271981872,2.399190089734541,114.03046408106735,116.61163564093556,120.29363601072009,0.1,2,0.8529411764705882,0.1470588235294118,0
23,10,19,2.0439995291311415,128.0,128.0,128.0,0.1,0.21000000000000002,0.0008990046296214598,0.010159219163916445,0.011926906734412802,0.0003288777137498332,1.8339995291311415,128.0,128.0,128.0,0.1,2,0.9830508474576272,0.016949152542372836,1
23,11,0,1.4668452118070459,80.0,80.0,76.56417743340282,0.04727478221985551,0.1668452118070458,-12.0,-12.0,-12.0,-0.009999000000000001,1.0,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,11,1,1.2993304799008127,102.2175964232174,115.16010326351014,87.40811929220351,0.075497514293312,0.11752238649150482,-12.0,-5.463445015312197,-12.0,-0.005828325576441813,1.0,96.0,96.0,77.3909031787425,0.073296,1,0.8529411764705882,0.1470588235294118,0
23,11,2,1.6,124.5725947632422,121.10945289325502,120.92385846118681,0.07439984864359965,0.30000000000000004,-2.006163203117538,-1.0870766168923887,2.434224667833048,-0.0031757774830231547,1.0,124.0,124.0,110.78095551668233,0.07669899999999999,2,0.8787878787878788,0.12121212121212122,0
23,11,3,1.6,128.0,128.0,128.0,0.1,0.30000000000000004,0.013315141117500453,0.0006853217605874497,0.005225066393955277,0.0005764224519899996,1.0,128.0,128.0,128.0,0.1,2,0.8529411764705882,0.1470588235294118,0
23,11,4,1.604148985249289,84.61054577614323,73.58527677162198,95.79450105200263,0.03900409286858247,0.30000000000000004,12.0,12.0,12.0,-0.009999000000000001,1.0060760121377235,32.0,32.0,29.07908180560925,0.010009,2,0.8529411764705882,0.1470588235294118,0
23,11,5,1.6280962795678602,112.91269331790039,102.10409049776413,99.64758697072644,0.073296,0.30000000000000004,-12.0,-11.069335287378333,-1.7294748385220338,-0.009999000000000001,1.4361634386829683,105.3784603076771,94.22508742178066,77.37706180924847,0.06329699999999999,2,0.8529411764705882,0.1470588235294118,0
